epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,6382.67,1.0488,0.88955,1.42998,0.85369,0.79644,0.87336,0.59673,1.08197,0.88224,1.44048,0.00109,0.00109,0.00109
92,6446.63,1.01629,0.80903,1.3983,0.86536,0.833,0.90139,0.61907,1.0512,0.76645,1.41167,0.000991,0.000991,0.000991
93,6510.38,1.00448,0.79231,1.38878,0.90954,0.81468,0.90562,0.6204,1.03533,0.78028,1.39883,0.000892,0.000892,0.000892
94,6573.93,0.99753,0.77602,1.38649,0.86312,0.84742,0.90247,0.61875,1.03958,0.76928,1.39473,0.000793,0.000793,0.000793
95,6637.59,0.99169,0.76801,1.38158,0.87364,0.83597,0.91193,0.62689,1.03536,0.75416,1.39557,0.000694,0.000694,0.000694
96,6700.52,0.96225,0.74376,1.35837,0.88741,0.83399,0.90591,0.62997,1.02008,0.74973,1.38039,0.000595,0.000595,0.000595
97,6759.21,0.95563,0.74192,1.35561,0.87211,0.84233,0.9095,0.6324,1.02453,0.74801,1.38479,0.000496,0.000496,0.000496
98,6816.4,0.95187,0.73918,1.35238,0.88108,0.84195,0.913,0.63934,1.01522,0.73591,1.37537,0.000397,0.000397,0.000397
99,6878.09,0.93564,0.71867,1.33627,0.88066,0.8386,0.91183,0.63908,1.01426,0.72428,1.37479,0.000298,0.000298,0.000298
100,6941.14,0.93388,0.7085,1.3307,0.88179,0.83103,0.91112,0.63827,1.01382,0.72198,1.3776,0.000199,0.000199,0.000199
