epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,5080.18,1.25832,1.3471,1.56804,0.84541,0.73495,0.83412,0.53184,1.19568,1.00212,1.54806,0.002872,0.002872,0.002872
74,5150.66,1.24905,1.33931,1.55759,0.82834,0.7085,0.79734,0.503,1.27926,1.10931,1.61881,0.002773,0.002773,0.002773
75,5220.33,1.25797,1.34885,1.57107,0.80262,0.76749,0.84033,0.54516,1.16728,1.00651,1.53235,0.002674,0.002674,0.002674
76,5289.9,1.23508,1.307,1.54771,0.79028,0.78942,0.84089,0.53901,1.16843,0.98713,1.53162,0.002575,0.002575,0.002575
77,5359.58,1.24042,1.33139,1.55801,0.82994,0.74745,0.84153,0.54383,1.1924,0.97984,1.54102,0.002476,0.002476,0.002476
78,5425.86,1.23038,1.30605,1.55177,0.83405,0.76186,0.84475,0.54652,1.16348,0.9898,1.54193,0.002377,0.002377,0.002377
79,5490.49,1.21245,1.27895,1.53066,0.81898,0.77964,0.85591,0.56057,1.13743,0.92395,1.50176,0.002278,0.002278,0.002278
80,5560.47,1.20639,1.26761,1.52716,0.8317,0.7764,0.84617,0.55317,1.15807,0.93555,1.52242,0.002179,0.002179,0.002179
81,5630.65,1.20698,1.26855,1.52164,0.84763,0.78055,0.86521,0.56539,1.13087,0.91112,1.50176,0.00208,0.00208,0.00208
82,5701.29,1.19089,1.2532,1.51132,0.8218,0.76087,0.84661,0.54681,1.17817,0.95868,1.53254,0.001981,0.001981,0.001981
83,5772.11,1.19067,1.27082,1.51639,0.82495,0.74973,0.83133,0.53385,1.21504,1.00675,1.56789,0.001882,0.001882,0.001882
84,5842.5,1.19289,1.26178,1.5155,0.83983,0.7836,0.86493,0.56595,1.14512,0.9382,1.5023,0.001783,0.001783,0.001783
85,5911.56,1.1862,1.24325,1.5114,0.85287,0.73617,0.8372,0.55191,1.1681,0.93141,1.53119,0.001684,0.001684,0.001684
86,5977.48,1.18561,1.2442,1.51213,0.85679,0.79812,0.86555,0.58688,1.1349,0.86651,1.48983,0.001585,0.001585,0.001585
87,6043.28,1.16117,1.23143,1.49607,0.84958,0.79447,0.86192,0.56138,1.13636,0.89974,1.49442,0.001486,0.001486,0.001486
88,6114.15,1.15802,1.22364,1.48454,0.85777,0.81046,0.87678,0.59255,1.07924,0.85913,1.44983,0.001387,0.001387,0.001387
89,6184.61,1.1573,1.19938,1.4843,0.83948,0.79068,0.8699,0.58164,1.09184,0.86376,1.46133,0.001288,0.001288,0.001288
90,6254.86,1.14705,1.19994,1.4854,0.88224,0.79447,0.87294,0.5891,1.10298,0.84616,1.48394,0.001189,0.001189,0.001189
91,6326.63,1.07066,0.89818,1.46631,0.86667,0.76877,0.86191,0.58377,1.15524,0.88715,1.51716,0.00109,0.00109,0.00109
92,6387.09,1.02862,0.82034,1.42954,0.85972,0.80534,0.88797,0.61742,1.05963,0.80855,1.43216,0.000991,0.000991,0.000991
93,6448.02,1.02161,0.81259,1.4233,0.8856,0.80323,0.89468,0.61455,1.04582,0.81271,1.42204,0.000892,0.000892,0.000892
94,6509.15,1.01475,0.78828,1.4211,0.88106,0.83103,0.89666,0.61315,1.04446,0.80091,1.41762,0.000793,0.000793,0.000793
95,6570.55,0.99667,0.77244,1.41321,0.87501,0.837,0.9003,0.62025,1.03911,0.7764,1.42291,0.000694,0.000694,0.000694
96,6631.24,0.97198,0.75689,1.38982,0.89263,0.82971,0.90524,0.62397,1.0273,0.76568,1.40621,0.000595,0.000595,0.000595
97,6688.68,0.96434,0.7509,1.38279,0.87077,0.82708,0.90194,0.62892,1.01598,0.77476,1.40142,0.000496,0.000496,0.000496
98,6744.45,0.95738,0.73914,1.3803,0.87905,0.84026,0.9029,0.63105,1.0255,0.74776,1.40084,0.000397,0.000397,0.000397
99,6805.5,0.94849,0.73037,1.36576,0.88268,0.83893,0.90378,0.63166,1.02142,0.74219,1.39795,0.000298,0.000298,0.000298
100,6866.45,0.9315,0.71358,1.35231,0.8828,0.84289,0.90654,0.63341,1.01238,0.74078,1.3931,0.000199,0.000199,0.000199
