epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4221.27,1.26025,1.37007,1.5754,0.80972,0.71484,0.80659,0.48393,1.31955,1.10033,1.65165,0.003763,0.003763,0.003763
65,4290.81,1.25015,1.36819,1.57637,0.81193,0.71244,0.81392,0.49008,1.35578,1.09448,1.7029,0.003664,0.003664,0.003664
66,4360.4,1.24418,1.36264,1.56977,0.82183,0.74294,0.82318,0.49372,1.24778,1.10914,1.61433,0.003565,0.003565,0.003565
67,4429.36,1.23255,1.35094,1.56287,0.8257,0.6928,0.79283,0.47005,1.34967,1.12328,1.69864,0.003466,0.003466,0.003466
68,4495.14,1.2446,1.34745,1.56508,0.81939,0.70553,0.80305,0.48805,1.35187,1.14062,1.72246,0.003367,0.003367,0.003367
69,4559.12,1.23533,1.33279,1.56154,0.81875,0.76777,0.84589,0.5145,1.27505,1.00561,1.63821,0.003268,0.003268,0.003268
70,4629.51,1.22048,1.32125,1.54934,0.85145,0.72495,0.8293,0.51731,1.23215,1.04923,1.59116,0.003169,0.003169,0.003169
71,4699.41,1.22043,1.31666,1.54973,0.84216,0.76482,0.84543,0.53221,1.26365,1.01088,1.61403,0.00307,0.00307,0.00307
72,4769.19,1.21245,1.30302,1.53664,0.8411,0.71655,0.83058,0.50528,1.2686,1.02015,1.5894,0.002971,0.002971,0.002971
73,4838.79,1.20571,1.28835,1.53328,0.85505,0.73419,0.84731,0.51607,1.27181,0.99498,1.61761,0.002872,0.002872,0.002872
74,4908.04,1.19676,1.28103,1.5255,0.83299,0.78557,0.86235,0.54286,1.20679,0.96869,1.55574,0.002773,0.002773,0.002773
75,4978.01,1.18955,1.27743,1.51975,0.87049,0.74407,0.86022,0.55672,1.19885,0.94839,1.56664,0.002674,0.002674,0.002674
76,5044.03,1.1937,1.27557,1.52616,0.85544,0.76186,0.85892,0.53878,1.22838,0.93622,1.58363,0.002575,0.002575,0.002575
77,5108.61,1.18993,1.28109,1.52545,0.85864,0.77273,0.84875,0.54453,1.19222,1.01316,1.58012,0.002476,0.002476,0.002476
78,5178.97,1.19179,1.27609,1.52318,0.82271,0.77493,0.86136,0.54933,1.18201,0.93941,1.54154,0.002377,0.002377,0.002377
79,5249.29,1.16699,1.24796,1.50097,0.87616,0.77602,0.87118,0.56355,1.15969,0.92767,1.53571,0.002278,0.002278,0.002278
80,5319.15,1.17939,1.25578,1.51642,0.88923,0.7915,0.88621,0.5808,1.15255,0.89873,1.51945,0.002179,0.002179,0.002179
81,5388.7,1.15795,1.23126,1.49814,0.88574,0.78131,0.88375,0.55643,1.16998,0.91177,1.53282,0.00208,0.00208,0.00208
82,5458.09,1.14596,1.20959,1.48794,0.84127,0.7594,0.85127,0.5553,1.16768,0.99318,1.56032,0.001981,0.001981,0.001981
83,5527.04,1.13928,1.20541,1.48766,0.86462,0.7836,0.8754,0.56432,1.13179,0.92006,1.50898,0.001882,0.001882,0.001882
84,5592.35,1.12955,1.19365,1.4788,0.88726,0.80336,0.89756,0.58759,1.12694,0.82911,1.49357,0.001783,0.001783,0.001783
85,5656.48,1.13223,1.18908,1.47465,0.85148,0.81028,0.88858,0.59597,1.0957,0.85141,1.46998,0.001684,0.001684,0.001684
86,5727.05,1.12455,1.18464,1.46969,0.88206,0.81423,0.89685,0.59037,1.10908,0.84873,1.48527,0.001585,0.001585,0.001585
87,5796.79,1.13373,1.18859,1.47567,0.8578,0.82259,0.89785,0.60051,1.09152,0.83639,1.472,0.001486,0.001486,0.001486
88,5866.42,1.11276,1.17471,1.46391,0.88994,0.79941,0.89771,0.60837,1.09122,0.79668,1.4658,0.001387,0.001387,0.001387
89,5935.97,1.10991,1.15369,1.45862,0.88346,0.81028,0.89937,0.60805,1.08024,0.83185,1.45356,0.001288,0.001288,0.001288
90,6004.93,1.09355,1.13832,1.44775,0.87719,0.81818,0.8996,0.60762,1.08336,0.80045,1.46068,0.001189,0.001189,0.001189
91,6074.62,1.01598,0.83476,1.42667,0.8727,0.75196,0.84383,0.55533,1.161,1.01835,1.55142,0.00109,0.00109,0.00109
92,6134.86,0.98727,0.75804,1.40199,0.89932,0.81522,0.90412,0.62807,1.02707,0.78656,1.4151,0.000991,0.000991,0.000991
93,6195.37,0.97259,0.74046,1.39073,0.89637,0.81719,0.90774,0.63526,1.02762,0.76306,1.42676,0.000892,0.000892,0.000892
94,6255.55,0.94742,0.72043,1.37049,0.90065,0.84204,0.91964,0.63617,1.00516,0.76009,1.40052,0.000793,0.000793,0.000793
95,6315.86,0.94588,0.70648,1.36381,0.89897,0.84881,0.92251,0.64523,0.99127,0.73906,1.38258,0.000694,0.000694,0.000694
96,6376.44,0.92738,0.69552,1.34907,0.91204,0.85043,0.92403,0.6488,1.00295,0.73339,1.39605,0.000595,0.000595,0.000595
97,6433.76,0.91582,0.6811,1.3336,0.90539,0.84684,0.92261,0.65058,0.99743,0.71926,1.38453,0.000496,0.000496,0.000496
98,6488.51,0.9068,0.67218,1.3303,0.90366,0.85474,0.92408,0.64839,0.99271,0.72132,1.38044,0.000397,0.000397,0.000397
99,6548.87,0.88861,0.66066,1.31355,0.91993,0.85079,0.92542,0.65599,0.98324,0.7177,1.38142,0.000298,0.000298,0.000298
100,6609.4,0.88102,0.65111,1.31244,0.91634,0.86584,0.9246,0.65593,0.98786,0.70707,1.38364,0.000199,0.000199,0.000199
